id,German,Article,Plural,English,CEFR,WordType,VocabularyQuizEligible,ArticleQuizEligible,ProblemFlag,ProblemType,SourcePage,RawEntry,Notes
b1_0001,abschreiben,,,,B1,verb,yes,no,yes,separable_verb,16,"abschreiben, schreibt ab,",
b1_0002,Abitur,das,CH:,,B1,noun,yes,yes,yes,regional_variant,16,"das Abitur (D)→A, CH:",regional_variant_or_reference
b1_0004,ablehnen,,,,B1,verb,yes,no,yes,separable_verb,16,"ablehnen, lehnt ab,",
b1_0005,abmachen,,,,B1,verb,yes,no,yes,separable_verb,16,"abmachen, macht ab,",
b1_0006,abnehmen,,,,B1,verb,yes,no,yes,separable_verb,16,"abnehmen, nimmt ab,",
b1_0009,absagen,,,,B1,verb,yes,no,yes,separable_verb,16,"absagen, sagt ab, sagte",
b1_0016,abstimmen,,,,B1,verb,yes,no,yes,separable_verb,16,"abstimmen, stimmt ab,",
b1_0019,Abwartin,die,-nen (CH),,B1,noun,yes,yes,yes,regional_variant,16,"die Abwartin, -nen (CH) →",regional_variant_or_reference
b1_0021,abwaschen,,,,B1,verb,yes,no,yes,separable_verb,16,"abwaschen, wäscht ab,",
b1_0025,abbiegen,,,,B1,verb,yes,no,yes,separable_verb,16,"abbiegen, biegt ab,",
b1_0029,abfahren,,,,B1,verb,yes,no,yes,separable_verb,16,"abfahren, fährt ab,",
b1_0033,Abgase (Pl.),,,,B1,phrase,yes,no,yes,multi_word_expression,16,Abgase (Pl.),
b1_0034,abgeben,,,,B1,verb,yes,no,yes,separable_verb,16,"abgeben, gibt ab, gab ab,",
b1_0035,abhängen,,,,B1,verb,yes,no,yes,separable_verb,16,"abhängen, hängt ab, hing",
b1_0037,abheben,,,,B1,verb,yes,no,yes,separable_verb,16,"abheben, hebt ab, hob ab,",
b1_0038,abholen,,,,B1,verb,yes,no,yes,separable_verb,16,"abholen, holt ab, holte ab,",
b1_0039,Lasst uns über diesen Punkt abstimmen.,,,,B1,phrase,yes,no,yes,multi_word_expression,16,Lasst uns über diesen Punkt abstimmen.,
b1_0043,als ob,,,,B1,phrase,yes,no,yes,multi_word_expression,17,als ob,
b1_0047,Altenheim,das,-e,,B1,noun,yes,yes,yes,regional_variant,17,"das Altenheim, -e →",regional_variant_or_reference
b1_0049,Altersheim,das,-e,,B1,noun,yes,yes,yes,regional_variant,17,"das Altersheim, -e →",regional_variant_or_reference
b1_0055,sich amüsieren,,,,B1,verb,yes,no,yes,multi_word_expression; reflexive,17,"sich amüsieren, amüsiert",reflexive
b1_0058,anbieten,,,,B1,verb,yes,no,yes,separable_verb,17,"anbieten, bietet an,",
b1_0070,all-,,,,B1,word_part,review,no,no,,17,all-,word_part_or_prefix
b1_0072,aller-,,,,B1,word_part,review,no,no,,17,aller-,word_part_or_prefix
b1_0078,anhaben,,,,B1,verb,yes,no,yes,separable_verb,18,"anhaben, hat an, hatte an,",
b1_0079,anklicken,,,,B1,verb,yes,no,yes,separable_verb,18,"anklicken, klickt an,",
b1_0080,ankommen,,,,B1,verb,yes,no,yes,separable_verb,18,"ankommen, kommt an,",
b1_0082,ankündigen,,,,B1,verb,yes,no,yes,separable_verb,18,"ankündigen, kündigt an,",
b1_0085,anmelden,,,,B1,verb,yes,no,yes,separable_verb,18,"anmelden, meldet an,",
